,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,248,0,17,0,1,3,2
BOMBAY,1,108,2,0,0,0,0
CALI,8,0,305,0,5,1,6
DERMASON,0,0,0,627,0,15,49
HOROZ,0,0,9,4,379,0,10
SEKER,3,0,0,13,0,391,11
SIRA,1,0,0,48,6,3,461
