model,gaussian_0.01,gaussian_0.05,gaussian_0.10,gaussian_0.20,mask_0.01,mask_0.05,mask_0.10,mask_0.20
knn,-0.00036536353671901,-0.001461454146876151,-0.002922908293752302,0.002557544757033292,-0.004018998903909443,0.00073072707343802,-0.004018998903909443,-0.001826817683595161
logistic,0.001461454146876151,0.001096090610157141,0.001461454146876151,0.003288271830471312,0.002557544757033292,0.006576543660942624,0.007672634271099765,0.021191085129704024
random_forest,0.00036536353671901,-0.003288271830471312,-0.005845816587504604,-0.008403361344537785,-0.002922908293752302,-0.002192181220314171,-0.00073072707343802,-0.00073072707343802
svm,0.00036536353671901,0.001096090610157141,0.000730727073438131,0.002192181220314282,-0.00073072707343802,0.006941907197661745,0.007307270734380755,0.01388381439532338
xgboost,-0.005115089514066473,-0.003653635367190433,0.001461454146876151,-0.005115089514066473,-0.002922908293752302,0.002557544757033181,-0.001461454146876151,0.003288271830471312
