model,repeats,test_rows,avg_predict_time_ms,avg_per_sample_us
logistic,20,2737,1.0663700000009158,0.38961271465141245
knn,20,2737,100.28434999999831,36.64024479356899
svm,20,2737,682.912485,249.5113207891852
random_forest,20,2737,153.09680499999843,55.93599013518393
xgboost,20,2737,145.85988000000043,53.29188162221427
