,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,247,0,14,0,2,3,5
BOMBAY,0,111,0,0,0,0,0
CALI,15,0,299,0,5,1,5
DERMASON,0,0,0,633,0,14,44
HOROZ,2,0,6,6,379,0,9
SEKER,2,0,0,13,0,394,9
SIRA,0,0,1,50,8,9,451
