epoch,train_loss,test_loss
1,0.5428583274702243,0.5746000786670084
2,0.439126489502903,0.46402093164329206
3,0.4010037172774239,0.42643857558643244
4,0.3792427451540655,0.40604606854868397
5,0.3642551453499571,0.39249196937118147
6,0.3531348889107747,0.38262968034408074
7,0.34437712139168936,0.3750782181015494
8,0.33734058394747335,0.3691057851178388
9,0.331505796366037,0.36427447638008104
10,0.32667218659854935,0.3603021180229321
11,0.3226172932567242,0.3569958449221996
12,0.3191790420944758,0.3542171267476878
13,0.31623574427195866,0.35186249622028754
14,0.3136941215626654,0.34985231688500473
15,0.3114815353764565,0.3481237485979579
16,0.3095406542523494,0.3466262137464351
17,0.3078257155958551,0.34531856166619124
18,0.306299881584827,0.3441672940045399
19,0.3049333305880268,0.3431453069090806
20,0.3037018304894956,0.3422308320276598
21,0.30258563304821867,0.34140647573672384
22,0.3015685953498254,0.34065836165202135
23,0.3006374734242731,0.3399753983350985
24,0.2997813528772722,0.33934867849008554
25,0.298991190980393,0.33877099993640086
26,0.29825944980134356,0.3382364905529331
27,0.29757980335563733,0.33774031770580404
28,0.29694690449202804,0.3372784643326584
29,0.29635619961778525,0.3368475567214783
30,0.2958037814918706,0.3364447319914171
31,0.29528627216175884,0.33606753590832017
32,0.29480072969033677,0.3357138438261518
33,0.2943445736222822,0.3353817992519431
34,0.2939155252080893,0.33506976585972886
35,0.2935115592530903,0.3347762897859099
36,0.2931308651419879,0.3345000698113312
37,0.29277181512277517,0.3342399336151793
38,0.2924329383528034,0.333994818724506
39,0.2921128995358528,0.33376375711244105
40,0.29181048123229614,0.3335458626480941
41,0.29152456912350927,0.3333403207885923
42,0.2912541396612627,0.3331463800430541
43,0.2909982496544237,0.33296334484795925
44,0.29075602743676143,0.33279056957331266
45,0.29052666533204213,0.3326274534410789
46,0.2903094131891484,0.3324734361845894
47,0.2901035728043693,0.33232799431390014
48,0.2899084930830454,0.3321906378800183
49,0.28972356582043873,0.3320609076525138
50,0.28954822200380476,0.33193837264194703
51,0.2893819285552226,0.33182262791168343
52,0.28922418544888945,0.3317132926340604
53,0.2890745231480142,0.3316100083541309
54,0.2889325003156582,0.3315124374306948
55,0.28879770176143366,0.3314202616296552
56,0.2886697365920945,0.3313331808488899
57,0.2885482365391415,0.3312509119573208
58,0.28843285444073585,0.33117318773362886
59,0.2883232628586615,0.33109975589234814
60,0.2882191528139738,0.33103037818697945
61,0.28812023262736397,0.3309648295813067
62,0.288026226852295,0.3309028974814075
63,0.2879368752906451,0.3308443810219263
64,0.287851932082027,0.3307890904010881
65,0.2877711648591591,0.3307368462596874
66,0.28769435396268106,0.33068747909992835
67,0.28762129170967415,0.33064082874054634
68,0.28755178171089013,0.33059674380508286
69,0.2874856382323131,0.33055508124058636
70,0.2874226855972117,0.33051570586433426
71,0.28736275762532254,0.33047848993646484
72,0.2873056971061653,0.33044331275664146
73,0.287251355303851,0.33041006028306846
74,0.28719959149103175,0.33037862477237645
75,0.2871502725098824,0.3303489044390221
76,0.2871032723582268,0.33032080313299733
77,0.28705847179911514,0.33029423003473857
78,0.28701575799230056,0.33026909936623455
79,0.2869750241462269,0.3302453301174119
80,0.2869361691892476,0.3302228457869443
