,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,254,0,14,0,0,1,2
BOMBAY,0,111,0,0,0,0,0
CALI,12,0,303,0,4,2,4
DERMASON,0,0,0,627,0,10,54
HOROZ,3,0,4,5,381,0,9
SEKER,4,0,0,8,0,397,9
SIRA,1,0,2,39,9,5,463
