round,train_loss,test_loss
1,1.8010659209679265,1.8032027119304475
2,1.6781505224410935,1.682002580248617
3,1.5709623701087294,1.5765788828668954
4,1.4762030949684721,1.4835414011024584
5,1.392209083864029,1.4007958416787212
6,1.315542243308806,1.3256703240617942
7,1.2460041941121445,1.2574787751836503
8,1.1823509317940106,1.1949840400791272
9,1.12375219264775,1.1375615417325762
10,1.0695701245295315,1.0845716647697619
11,1.0196744404472131,1.0359107808209616
12,0.9731863730328685,0.9902433903712968
13,0.9297735943275843,0.9478795400143193
14,0.8893598463901853,0.9084397186360135
15,0.8512852596599646,0.8713191506372214
16,0.8157318049298424,0.8366760240665613
17,0.7822647169335686,0.8042993106718346
18,0.7508285136378009,0.7736870432840807
19,0.7210645530573638,0.7449245208321064
20,0.6930197004889719,0.717625796054461
21,0.6664945956264812,0.691912757030664
22,0.6414721070138675,0.6676499426234235
23,0.6179120796488516,0.6448610729225195
24,0.5955035830448855,0.6234219952312576
25,0.5745083434536352,0.6032194500101018
26,0.5543127452736477,0.5837007428461242
27,0.5354178274742412,0.5653285389295842
28,0.517541938280127,0.5480958813836115
29,0.5004129804959412,0.5316012772518133
30,0.48408894210687414,0.5158560301511009
31,0.4688628906930144,0.501230047454266
32,0.4542209298986268,0.4870371921767185
33,0.44018340714980464,0.473512526570248
34,0.42674483508877253,0.4606145565684886
35,0.4140000997970976,0.4483829762951318
36,0.40220638453888785,0.4371171818571801
37,0.39060767025397425,0.42603916579304185
38,0.3797042697152865,0.41573739916924624
39,0.369217921410359,0.40588823865703044
40,0.3592043562427272,0.3963387463218677
41,0.34965588378743145,0.3874757409280872
42,0.3403617553815853,0.378751675828687
43,0.33167873054200053,0.37057906528067147
44,0.3233050124211244,0.3626241787347996
45,0.31519858071557627,0.35503355435180456
46,0.3075441655697637,0.34806011348777677
47,0.3002053788855632,0.3413715988539151
48,0.293220262272285,0.33481466744583716
49,0.28643381880355034,0.3284910924278083
50,0.27995744872563777,0.32256033624344427
51,0.2738338169283883,0.31695378376841327
52,0.2680720433054167,0.31179597752783306
53,0.26243752031330925,0.3066552487774665
54,0.25702444845899214,0.30189767403403556
55,0.25196584711674236,0.2974808752525885
56,0.2471601496350471,0.29316245760955123
57,0.24251235553558603,0.2888439751843009
58,0.23799542147482655,0.28491539294141727
59,0.2337915661632932,0.28112016080078694
60,0.22958395459302705,0.27734751471821567
61,0.22567513536669095,0.273957319832606
