,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,253,0,14,0,1,2,1
BOMBAY,0,111,0,0,0,0,0
CALI,9,0,306,0,6,2,2
DERMASON,0,0,0,628,0,12,51
HOROZ,1,0,6,6,381,0,8
SEKER,4,0,0,14,0,395,5
SIRA,0,0,1,49,6,4,459
